1|cevCat6kMWAMBlade
2|cevCat6kWsx6148Rj45
3|cevCat6kWsf6kVpwr
4|cevCat6kWsSup720Base
5|cevCat6kWsSup720
6|cevCpuCat6kWsSup720RP
7|cevCat6kWsf6kpfc3b
8|cevCpuCat6kWsSup720SP
9|zeroDotZero
10|cevCat6kWsSvcFwm1
11|cevCat6kWsc6kvtt
12|cevClk7600
13|cevSFP1000BaseSx
14|cevSFP1000BaseT
15|cevXFR10gMMSR
16|cevIM1p10GeXfp
17|cevIM8pGeSFP
18|cevModuleASR903RSP1A
19|cevChassisASR901AC10G
20|cevModuleME3600X24FS
21|cevModuleME3800X24FS
22|cevC3KxNm10g
23|cevModuleCat385048P
24|cevCpu3900SPE2504ge
25|cevModulePVDM3c64
26|cevXFPmmsr
27|cevMpa4X10GE
28|cevXFPUnknown
29|cevModuleASR9KLCDb
30|cevModuleA9KMOD80TR
31|cevModuleASR9KHost
32|cevModuleA9KRsp440Tr
33|cevMpa20X1GE
34|cevModuleA9K4x10GEB
35|cevSFP1000BaseLh
36|cevCat6kWsF6kDfc4a
37|cevCat6kVsSup2t10g
38|cevCat6kVsF6kMsfc5
39|cevCpuCat6kVsSup2t10g
40|cevCat6kVsF6kPfc4
41|cevCat6kWsx6848Tx
42|cevModuleCpuType
43|cevCat6kWsx6148aGeTx
44|cevCat6kWsf6kGe48Af
